chromosome	start	end	transcript_ID	gene_name	transcript_len
chr7	107296961	107302243	NR_028137	SLC26A4	5283
chr13	20761609	20767077	NM_004004	GJB2	5469
chr4	89011416	89080011	NM_001348986	ABCG2	68596
chr4	89011416	89152778	NM_001348985	ABCG2	141363
chr17	7571720	7590868	NM_001126118	TP53	19149
chr17	7571720	7578811	NM_001126117	TP53	7092
chr17	7571720	7578811	NM_001126116	TP53	7092
chr17	7571720	7590868	NM_001126112	TP53	19149
chr17	7571720	7590868	NM_001126114	TP53	19149
chr19	45409658	45412652	NM_001302690	APOE	2995
chr19	45409053	45412650	NM_001302688	APOE	3598
chr17	7571720	7590808	NM_001276761	TP53	19089
chr4	89011416	89152778	NM_001257386	ABCG2	141363
chr10	96698415	96749848	NM_000771	CYP2C9	51434
chr7	107301273	107358252	NM_000441	SLC26A4	56980
chr17	7571720	7578811	NM_001126115	TP53	7092
chr17	7571720	7590868	NM_000546	TP53	19149
chr4	89011421	89079791	NM_004827	ABCG2	68371
chr19	45409278	45412650	NM_001302689	APOE	3373
chr4	89011416	89080011	NM_001348988	ABCG2	68596
chr19	45409053	45412650	NM_000041	APOE	3598
chr17	7571720	7590868	NM_001126113	TP53	19149
chr4	89011416	89080475	NM_001348989	ABCG2	69060
chr17	7571720	7578562	NM_001276699	TP53	6843
chr17	7571720	7578562	NM_001276697	TP53	6843
chr17	7571720	7590808	NM_001276696	TP53	19089
chr17	7571720	7590808	NM_001276695	TP53	19089
chr17	7571720	7590808	NM_001276760	TP53	19089
chr17	7571720	7578562	NM_001276698	TP53	6843
chr4	89011416	89080011	NM_001348987	ABCG2	68596
chr19	45409053	45412650	NM_001302691	APOE	3598
